athlete,test_type,metric_name,best_value,unit,date,session_id,side
togo,CMJ,best_jump_height_cm,32.7,cm,2026-03-08,2026-03-08_test1,
togo,DJ,best_contact_time_ms,192.0,ms,2026-03-08,2026-03-08_test1,
togo,DJ,best_flight_time_ms,338.0,ms,2026-03-08,2026-03-08_test1,
togo,DJ,best_jump_height_cm,14.0,cm,2026-03-08,2026-03-08_test1,
togo,DJ,best_rsi,1.72,,2026-03-08,2026-03-08_test1,
togo,SJ,best_jump_height_cm,23.0,cm,2026-03-08,2026-03-08_test1,
togo,bounding_10,best_distance_cm,1595.0,cm,2026-03-08,2026-03-08_test1,
togo,hop_5,best_distance_cm,702.0,cm,2026-03-08,2026-03-08_test1,left
togo,hop_5,best_distance_cm,695.0,cm,2026-03-08,2026-03-08_test1,right
togo,pro_agility,best_total_time_s,6.37,s,2026-03-08,2026-03-08_test1,left
togo,pro_agility,best_total_time_s,6.31,s,2026-03-08,2026-03-08_test1,right
togo,rugby_ball_throw,best_distance_m,7.37,m,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_fly_10m_s,1.8,s,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_fly_5m_s,0.91,s,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_split_10m_s,1.62,s,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_split_20m_s,3.45,s,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_split_30m_s,5.39,s,2026-03-08,2026-03-08_test1,
togo,sprint_30m,best_total_time_s,5.39,s,2026-03-08,2026-03-08_test1,
togo,standing_long_jump,best_distance_cm,172.0,cm,2026-03-08,2026-03-08_test1,
